marca,modelo,numero_serie,estado,ubicacion,numero_factura,fecha_compra,fecha_vencimiento_garantia,costo
HP,PROBOOK450G6,5CD9259ZXF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP PRO 3000/3080,GENERICO,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP ELITEDESK 800 G2 DM 35W,MXL64922R1,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,IDEAPADGAMING 3 15IAH7 TYPE 82S9,MP29MDBC,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP PRODESK 400 G1,MXL50720TF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP PROBOOK 440 G7,5CD122945W,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PRODESK 600 G1 DM,2UA429246N,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,THINKBOOK 14 G2,MP2H0XRL,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
ACER,ASPIRE ES1-572,NXGD0AL0257190BD503400,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,THINKPAD P1,R9-0TVCB2,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
ACER,"
ASPIRE A515-41Y8",NXGPYAL006733002B3300,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PAVILION NOTEBOOK,HP PAVILION NOTEBOOK,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PROBOOK 4430S,HP ´PROBOOK 4430S,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,INSPIRON 15 3525,CN0PY929C5B0017R0000A04,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,IDEAPAD GAMING 15IHU6,MP2KHC6X,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,LATITUDE 3420,BDKKHHX3,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,LATITUDE 3420,BDKKX3,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,IDEAPAD GAMING 315ARH7,MP2CA82C,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
